STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,TMIN
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860727,29.4,12.2
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860728,29.4,14.4
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860729,31.7,16.7
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860730,29.4,16.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860731,25.6,12.2
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860801,24.4,12.2
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860802,23.3,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860803,29.4,9.4
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860804,31.1,13.3
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860805,30,14.4
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860806,28.3,13.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860807,26.7,14.4
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860808,29.4,11.7
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860809,28.9,15
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860810,20.6,7.2
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860811,25,6.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860812,27.8,9.4
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860813,24.4,15.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860814,29.4,13.9
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860815,32.8,13.3
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860816,32.8,11.1
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860817,24.4,7.2
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860818,27.8,10.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860819,32.8,15.6
GHCND:USC00323621,GRAND FORKS UNIVERSITY NWS ND US,253,47.93333,-97.08333,19860820,31.1,15
