STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860625,13.7,15.5,8.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860626,13.2,18.2,7.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860627,13.4,20.5,8.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860628,15.6,20.3,9.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860629,19.1,26.0,12.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860630,16.3,18.0,11.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860701,14.3,24.8,8.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860702,18.4,20.3,11.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860703,13.7,17.8,8.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860704,13.4,16.6,10.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860705,11.7,14.9,7.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860706,12.1,15.4,7.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860707,13.8,19.1,8.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860708,16.8,22.6,12.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860709,17.9,21.6,11.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860710,16.4,19.7,11.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860711,17.1,20.9,15.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860712,18.3,21.3,13.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860713,18.2,22.8,12.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860714,17.9,21.6,12.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860715,13.3,15.4,8.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860716,11.6,16.5,2.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860717,14.7,22.0,10.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860718,14.6,16.2,10.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860719,11.3,21.4,4.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860720,17.1,19.5,13.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860721,14.4,18.8,11.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860722,12.8,14.4,9.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860723,12.6,15.6,9.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860724,14.7,19.8,9.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860725,13.9,19.9,9.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860726,17.2,24.8,11.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860727,18.6,23.6,11.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860728,16.7,19.0,12.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860729,14.5,17.5,12.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860730,16.0,21.2,12.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860731,19.1,26.9,12.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860801,22.1,28.7,15.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860802,19.7,24.2,13.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860803,20.1,29.3,13.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860804,19.4,23.0,15.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860805,17.0,24.2,11.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860806,14.4,16.2,11.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860807,15.2,18.4,12.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860808,14.5,16.7,12.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860809,14.2,19.4,8.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860810,19.0,30.4,12.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860811,23.7,28.3,17.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860812,18.9,19.5,15.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860813,16.8,25.0,11.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860814,14.3,16.4,9.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860815,13.8,15.4,9.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860816,11.7,15.3,6.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860817,11.5,12.6,9.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860818,10.9,13.2,8.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860819,11.5,16.8,7.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860820,12.3,18.5,5.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860821,12.7,18.1,9.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860822,13.8,25.0,6.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860823,12.8,16.4,3.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860824,5.9,10.3,3.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860825,7.3,14.4,0.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860826,10.7,21.5,4.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860827,17.9,28.9,10.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860828,19.6,28.0,10.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860829,18.0,24.1,11.1,-9999
