STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731025,9.4,12,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731026,8.6,11,6
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731027,9.3,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731028,5.6,7,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731029,8.6,11,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731030,8.4,12,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731031,4.8,9,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731101,3.8,7,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731102,2.6,6,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731103,5.6,8,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731104,7.1,10,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731105,8.6,11,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731106,5.9,8,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731107,6.6,-9999,0
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731108,8.7,10,6
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731109,8.8,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731110,5.9,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731111,4.9,-9999,3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731112,3.9,7,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731113,5.4,8,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731114,-0.4,3,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731115,0.6,3,-4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731116,1.7,3,-1
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731117,1.3,5,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731118,2.3,5,-2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731119,5.1,-9999,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731120,3.4,7,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731121,1.9,-9999,-3
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731122,6.4,-9999,2
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731123,6.4,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731124,4.2,10,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731125,-1.6,3,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731126,-4.8,-9999,-10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731127,-4,0,-8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731128,-5.1,-1,-12
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731129,-5.3,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19731130,-8.5,-4,-14
