"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"148","18","-0.1","-8.8","-7.2","-0.3","8.8","17.8","15.0","18.1","6.8","7.2","-2.3","-8.1"
"149","19","-4.5","-10.7","-6.1","0.9","9.0","20.1","10.9","18.0","9.1","7.1","-7.3","-12.5"
"150","20","-5.2","-12.1","-6.3","0.8","8.0","19.7","15.3","16.6","7.6","7.1","-7.3","-16.0"
"151","21","-3.2","-18.6","-7.3","0.5","7.3","20.9","17.6","11.9","6.6","5.3","-11.8","-14.2"
"152","22","-3.3","-10.6","-8.4","3.8","7.9","19.8","20.1","11.9","6.0","4.8","-13.8","-9.0"
"153","23","-3.2","-6.2","-7.5","5.7","11.9","19.6","20.2","12.8","7.3","0.0","-8.0","-5.8"
"154","24","-8.7","-3.3","-4.7","4.6","12.5","20.6","15.2","13.5","9.4","5.2","-13.0","-3.5"
"155","25","-7.8","-6.6","-2.6","3.0","14.3","20.7","16.2","12.5","11.0","5.4","-9.4","-5.1"
"156","26","-3.3","-12.5","-3.8","3.7","13.6","17.1","16.3","13.1","9.1","6.5","-16.4","-4.7"
"157","27","-2.6","-7.2","-3.1","4.4","14.5","16.8","15.3","11.2","5.8","2.8","-14.5","-5.3"
"158","28","0.0","-8.5","-4.3","5.9","13.7","15.3","14.8","14.5","3.2","0.8","-12.1","-5.1"
"159","29","0.0","-","0.6","2.4","11.4","17.4","18.7","14.0","8.9","3.7","-4.7","-1.3"
"160","30","-0.8","-","1.3","2.0","11.0","15.8","19.3","14.2","4.5","3.7","-13.1","-4.5"
"161","31","-2.5","-","0.9","-","10.7","-","21.6","12.8","-","1.9","-","-6.5"
"162","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"163","Minimum","-18.1","-23.5","-13.5","-1.7","0.9","6.4","10.9","11.2","3.2","0.0","-16.4","-16.6"
"164","Date","1","14","3","12","2","2","19","27","28","23","26","6"
"165","Maximum","0.2","-3.3","1.7","7.2","14.5","20.9","21.6","22.4","15.8","13.2","2.9","0.1"
"166","Date","17","24","6","6","27","21","31","1","12","9","12","10"
"167","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"168","Mean","-5.3","-10.9","-6.6","2.6","8.8","16.5","15.8","16.9","10.0","5.6","-5.0","-7.2"
"169","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"170","Deviation","1.9","-3.8","-4.3","-0.2","-0.6","2.4","0.6","3.0","0.7","0.9","-3.5","-1.5"
"171","%","-","-","-","-","-","-","-","-","-","-","-","-"
"172","4780 GARDERMOEN, TAM 1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"174","1","-5.3","-9.3","-0.5","-4.3","5.6","9.5","12.7","17.4","13.8","7.9","-3.1","-5.3"
"175","2","-8.0","-7.9","-9.8","-5.2","5.9","11.1","11.7","17.5","12.8","7.3","-7.2","-3.3"
"176","3","-13.0","-9.9","-8.1","-5.1","6.1","15.4","12.5","19.1","10.4","7.4","-6.0","-7.7"
"177","4","-20.7","-7.3","-4.1","-3.7","3.9","18.0","12.4","16.9","9.0","6.3","-2.5","-10.1"
"178","5","-21.7","-19.2","-2.3","-2.6","6.8","18.1","15.1","16.8","10.7","6.5","-7.1","1.0"
"179","6","-24.8","-16.7","-1.5","-1.9","9.0","18.8","10.6","17.7","10.4","8.8","-8.4","1.4"
"180","7","-25.4","-15.0","-1.1","-2.2","9.7","18.4","15.6","13.6","5.5","6.9","-5.5","-0.4"
"181","8","-17.8","-7.5","-3.3","0.8","10.1","16.9","15.5","14.2","7.8","7.8","-8.0","1.3"
"182","9","-12.5","-8.1","-4.7","0.9","11.7","20.8","17.5","13.7","8.7","7.0","-2.8","2.0"
"183","10","-9.2","-17.0","-2.9","-0.7","12.0","20.3","16.0","14.8","11.1","8.0","-10.3","1.5"
"184","11","-6.9","-21.0","-3.9","2.2","12.5","18.0","11.0","12.6","11.9","6.3","-12.8","-4.9"
"185","12","-4.2","-20.6","-2.7","1.8","14.1","11.0","13.5","13.6","11.2","4.4","-6.6","-4.4"
"186","13","-2.8","-16.5","-4.6","1.0","13.0","13.1","12.1","13.3","9.8","5.1","-6.3","-4.4"
"187","14","-6.6","-20.8","-9.0","1.5","13.6","15.5","13.5","15.5","9.8","7.3","-4.8","-1.0"
"188","15","-14.8","-21.9","-4.5","0.2","8.7","15.7","14.1","13.9","9.4","6.9","-0.2","-8.7"
"189","16","-18.2","-24.1","-4.7","1.7","9.4","16.7","12.4","14.0","7.6","6.7","0.3","-8.1"
"190","17","-15.1","-22.4","1.6","1.4","10.5","19.9","13.4","11.2","11.1","3.4","0.6","-0.6"
"191","18","-10.9","-22.1","-0.3","1.1","9.9","22.4","12.2","12.4","14.4","7.6","-0.9","-1.1"
"192","19","-12.5","-15.6","-1.6","2.6","11.8","23.8","13.9","12.7","12.4","7.2","1.5","-1.6"
"193","20","-12.7","-8.3","-1.0","3.6","9.0","24.1","11.6","14.5","7.9","8.0","3.8","2.0"
"194","21","-10.5","-7.9","-5.0","1.1","7.7","21.9","12.6","15.6","7.9","5.5","1.5","-2.0"
"195","22","-9.4","-5.7","-3.0","3.0","5.6","20.3","10.0","14.8","5.9","1.0","1.6","-3.8"
"196","23","-8.4","-8.6","-1.9","0.9","7.6","17.7","13.5","15.4","5.0","-0.5","0.2","-8.2"
"197","24","-7.3","-14.1","-3.8","4.5","7.4","13.9","12.0","15.7","4.8","6.8","0.9","-10.1"
"198","25","-4.7","-17.7","-4.7","3.6","10.0","12.4","13.6","14.0","3.2","4.2","3.5","-3.6"
"199","26","-5.1","-19.6","-2.0","1.1","11.2","14.6","14.9","14.5","2.0","-0.9","0.7","-3.4"
"200","27","-5.4","-13.3","-5.7","2.0","14.4","16.8","13.0","13.6","3.2","1.3","-4.2","-6.1"
"201","28","-10.8","-9.1","-6.6","1.1","12.0","15.1","11.2","13.9","7.3","-3.6","-5.8","-3.8"
